source_id,participant,source_type,url,evidence_summary,checked_at,access
S030,ПАКС,official_argentina,https://paks4you.ru/countries/argentina/,"Туры в Аргентину 2026 и индивидуальный подбор",2026-09-18,public
S031,ПАКС,official_patagonia,https://fit.paks.ru/prekrasnaya-patagoniya-i-solonchak-uyuni,"Индивидуальная Patagonia + Chile + Bolivia программа",2026-09-18,public
S032,ПАКС,official_company,https://paks.ru/,"Туроператор с 1992 года, FIT-отдел и публичная инфраструктура",2026-09-18,public
S033,Signature DMC,official_home,https://signaturedmc.com/,"20+ лет, luxury South America, tailor-made, Patagonia, MICE, локальная операционная сеть",2026-09-18,public
S034,Signature DMC,official_patagonia,https://signaturedmc.com/patagonia/,"Patagonia Argentina: Ushuaia, Bariloche, El Calafate, собственная логистика, custom itineraries",2026-09-18,public
S035,Signature DMC,official_about,https://signaturedmc.com/quienes-somos/,"Premium/tailor-made по Argentina, Chile, Peru, Brazil и другим странам; 20+ лет",2026-09-18,public
S036,Eurotur DMC Argentina,official_company,https://www.linkedin.com/company/euroturincoming,"DMC с 1954 года, offices в Patagonia, tailor-made FIT, deluxe/upscale, Argentina + соседние страны",2026-09-18,public
S037,Eurotur DMC Argentina,official_patagonia,https://www.eurotur.com.ar/html/flash/RegPatagonia.pdf,"Patagonia product coverage: Tierra del Fuego, Santa Cruz, Chubut, Rio Negro, Neuquen",2026-09-18,public
S038,Eurotur DMC Argentina,industry_directory,https://dmc.inside.travel/directory/eurotur/,"End-to-end tailor-made/group, luxury/adventure, neighboring countries, branches in El Calafate/Ushuaia/Salta",2026-09-18,public
S039,People Travel & Experience,official_home,https://www.peopletravel.ar/,"Bespoke Argentina/Chile/Brazil/Bolivia/Uruguay, Patagonia, custom design, comfort and local support",2026-09-18,public
S040,People Travel & Experience,official_b2b,https://www.peopletravel.ar/prueba-operadores,"Tailor-made FIT/groups, full local support, white-label operation, Argentina/Chile/Brazil",2026-09-18,public
S041,Quimbaya Latin America,official_home,https://quimbaya-tours.com/,"Tailor-made Latin America, local offices in 11 countries incl. Argentina and Chile, 38+ years",2026-09-18,public
S042,Quimbaya Latin America,public_company,https://www.linkedin.com/company/quimbaya-latin-america,"Argentina office, tailor-made programs, 11 local offices and regional B2B infrastructure",2026-09-18,public
S043,Petru DMC Argentina,official_home,https://petrudmc.com/es,"16+ лет, tailor-made Argentina, Patagonia Argentina/Chile, 24/7 local support, boutique/FIT",2026-09-18,public
S044,Onesixth Expeditions,official_home,https://onesixthexpeditions.com/,"Luxury tailor-made DMC Argentina, local team Buenos Aires, exclusive experiences",2026-09-18,public
S045,Onesixth Expeditions,official_patagonia,https://onesixthexpeditions.com/pioneersexpedition,"Глубокий Patagonian expedition product и local cultural expertise",2026-09-18,public
S046,Visit Patagonia,official_home,https://visitpatagonia.com.ar/?lang=en,"Local Patagonia operator, El Calafate + Buenos Aires offices, tailor-made end-to-end",2026-09-18,public
S047,Visit Patagonia,official_faq,https://visitpatagonia.com.ar/faq?lang=en,"License 10.402, tailor-made El Calafate/El Chalten/Ushuaia/Torres del Paine, local support and changes",2026-09-18,public
